Description,ASIN,Product Description,Manufacturer
"Are you bored of lugging around a backpack much too large and unwieldy? This handcrafted uppercase Printed Compact Laptop Backpack is your perfect companion. It comes in a selection of attractive and bold yet elegant prints that makes it a standout accessory for anyone to carry. It carries a full-sized 16"" macbook & 15 "" normal laptop and comes with spacious compartments for your chargers, accessories, and other electronics Designed with care - Holds 4-5 A4-sized books or a change of clothes - Zipper organiser to store your wallet, stationery, and phone charger. - Front access pocket for you to easily carry important small items. - Bottle holder on the side. - Trolley sleeve on the back for longer journeys. - Made of luxurious recycled material and has ultra-comfortable shoulder straps with thick padding. - Air mesh on the back optimises breathability and regulates temperature while you wear the backpack. Designed for good - A promise of sustainable and ethical production uppercase is committed to partnering with you in building a world more beautiful. All our products are made from sustainable materials and are GRS (Global Recycle Standard) certified. Our manufacturing processes conform to the highest and most stringent GRS criteria. We ensure fixed working hours, minimum wages, and no child labour. We maintain strict standards in factory safety, energy management, and waste disposal management. We do not use any restricted or harmful chemicals. Every Compact Laptop Backpack 5A bought helps reduce 6.5 1-litre plastic bottles from the planet, helps conserve 86ml of crude oil, and prevents 425g of CO? emission. Approximate calculations based on information available on www.textilevaluechain.in",B0B9T7PD7T,14.5 x 30.3 x 43 cm; 350 Grams,"Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India"
Premium Material Waterproof Construction - Made of superior vegan leather with heavyish water-resistant coating to ensure the use of long-term. The vegan leather comes with a very executive appearance.Handmade series transforms the original natural beauty into every backpack bag.,B085WX96DY,?21 x 12 x 4.5 cm; 250 Grams,"?sarthi enterprise, SARTHI"
"Are you looking for a fully loaded backpack for inter or intra city travel or an adventure trip? Look no further. This handcrafted uppercase Tall Buy Laptop Backpack is the perfect large and sturdy yet stylish and lightweight laptop backpack. It is large enough to hold a large 17"" laptop and leave you more than enough space to pack all the necessities for an outdoor trip. Whether you are a college student or a working professional, this is the ideal everyday backpack. Designed with care - Two spacious compartments that can carry 10+ A4-sized books or 2-3 sets of clothes, and all your essential chargers and electronics. - Front access pocket for you to easily carry important small items with two bottle holders on the sides. - Second pocket on the top gives you easy access to your sunglasses or wallet. - Convenient trolley sleeve on the back allows it to be securely placed on a trolley. - Made of luxurious recycled material. - Ultra-comfortable shoulder straps with thick padding. - Air mesh on the back optimises breathability and regulates temperature while you wear the backpack. - Sturdy enough to stand upright on its own even when it is empty. Designed for good - A promise of sustainable and ethical production uppercase is committed to partnering with you in building a world more beautiful. All our products are made from sustainable materials and are GRS (Global Recycle Standard) certified.Our manufacturing processes conform to the highest and most stringent GRS criteria. We ensure fixed working hours, minimum wages, and no child labour. We maintain strict standards in factory safety, energy management, and waste disposal management. We do not use any restricted or harmful chemicals. Every tall boy laptop backpack bought helps reduce 12 1-litre plastic bottles from the planet, helps conserve 151ml of crude oil, and prevents 753g of CO? emission.* *Approximate calculations based on information available on www.textilevaluechain.in",B0B81YTTWS,16.2 x 30.5 x 46 cm; 600 Grams,"Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India"
"Product Features: It is Lightweight and comfortable to carry with adjustable padded straps. This Backpack has decent capacity to store essentials with inside zipper pockets to put your private or valuable items. It also has Zipper closure for handy access. It is perfect for business, travelling, meeting, shopping and daily use.",B084Q4N84P,35 x 18 x 54 cm; 120 Grams,"Torero Corporation Pvt Ltd, S22, EKTP Phase 3, Kasba Industrial Estate, Sector G, East Kolkata Twp, Kolkata, West Bengal 700107, Email- customercare@torerocorp.co"
"Dynotrek Samso Travel Laptop Backpack Size: 30 cm *13 cm *43 cm Weight:0.48 kg Product Advantages?Large capacity with many pockets Convenient USB port design Comfy and sturdy High quality material A perfect gift Made from quality nylon fabric with Two shoulder straps,offers LIGHT-WEIGHT carrying and of force reinforcement,perfects for business traveling, weekend getaways, shopping, professional office work and other outdoor activities. Also, a perfect college high school student backpack for boys,girls,teens,women and men.", B09DBVZ77H,33.02 x 15.24 x 44.45 cm; 400 Grams,"? Dynotrek India, www.dynotrekindia@gmail.com"
"Are you bored of lugging around a backpack much too large and unwieldy? This handcrafted uppercase Compact Laptop Backpack is your perfect companion. It carries a full-sized 16"" laptop and comes with spacious compartments for your chargers, accessories, and other electronics. Designed with care - Holds 4-5 A4-sized books or a change of clothes - Zipper organiser to store your wallet, stationery, and phone charger. - Front access pocket for you to easily carry important small items. - Bottle holder on the side. - Trolley sleeve on the back for longer journeys. - Made of luxurious recycled material and has ultra-comfortable shoulder straps with thick padding. - Air mesh on the back optimises breathability and regulates temperature while you wear the backpack. Designed for good - A promise of sustainable and ethical production uppercase is committed to partnering with you in building a world more beautiful. All our products are made from sustainable materials and are GRS (Global Recycle Standard) certified. Our manufacturing processes conform to the highest and most stringent GRS criteria. We ensure fixed working hours, minimum wages, and no child labour. We maintain strict standards in factory safety, energy management, and waste disposal management. We do not use any restricted or harmful chemicals. Every Compact Laptop Backpack 5A bought helps reduce 6.5 1-litre plastic bottles from the planet, helps conserve 86ml of crude oil, and prevents 425g of CO? emission.* *Approximate calculations based on information available on www.textilevaluechain.in",B0B68ZS5G1,14.5 x 30.3 x 43 cm; 398 Grams,"Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India"
"LAPTOP BACKPACK with USB PORT: With built in USB Port, this laptop backpack offers you a more convenient way to charge your phone while on the go. It accommodates laptops up to 15.6 inches. Perfect for daily commuters, college students and office use.",B09HX54TGF,46.25 x 16.25 x 32.5 cm; 590 Grams,"COSMUSBAGS PVT.LTD., 359,Ground Floor Abubakar Chawl Dharavi Main Road, Bagicha Compound, Dharavi Mumbai,400017 Mobile: +91 8767008844"
"TRAVEL BACKPACK WITH USB CHARGING PORT:Built-in USB charging cable, more convenient to carry, and you don't need to worry about lower battery for your phone. Charge to your phone anytime and anywhere.",B0B9X2BLDF,40 x 12.5 x 28 cm; 1.17 Kilograms,Encon Impex Pvt Ltd
Compact and lightweight travel backpack can be easily placed under the airline seat.; Slim laptop backpack with spacious room to keep everything organized and easy to find; Padded back and straps make the business backpack comfortable to wear.,B0822H451W,12 x 30 x 42 cm; 600 Grams,GOCART WITH G LOGO
"LOTS OF STORAGE SPACE&POCKETS- This travel backpack design with multi independent pockets for large storage and organization for small items. 2 spacious main multi compartments,1 quick access zip pocket can accommodate lots of stuffs like college supplies, travel accessories, clothes, stationery, notebook, Mesh pockets at side for water bottle and compact umbrella make your items organized and easier to find. Ideal book bag backpack for high school boys perfectly.",B09YP16BZK,47 x 31 x 18 cm; 450 Grams,"WildHorn, ADL International, 61 B/H G.J. Khan Road, kolkata-700039, Contact: +91 9051643604"
Compact and lightweight travel backpack can be easily placed under the airline seat.; Slim laptop backpack with spacious room to keep everything organized and easy to find; Padded back and straps make the business backpack comfortable to wear.,B0822H451W,12 x 30 x 42 cm; 600 Grams,GOCART WITH G LOGO
"LAPTOP BACKPACK with USB PORT: With built in USB Port, this laptop backpack offers you a more convenient way to charge your phone while on the go. It accommodates laptops up to 15.6 inches. Perfect for daily commuters, college students and office use.",B09HX43CCL,46.25 x 16.25 x 32.5 cm; 590 Grams,"?COSMUSBAGS PVT.LTD., 359,Ground Floor Abubakar Chawl Dharavi Main Road, Bagicha Compound, Dharavi Mumbai,400017 Mobile: +91 8767008844"
"This travel backpack design with multi independent pockets for large storage and organization for small items. 2 spacious main multi compartments with many hidden pockets can accommodate lots of stuffs like college supplies, travel accessories, clothes, stationery, notebook, Mesh pockets at side for water bottle and compact umbrella make your items organized and easier to find.Ideal book bag backpack for high school boys perfectly", B09P2ZS4D7,48.51 x 33.53 x 7.62 cm; 450 Grams,"WildHorn, ADL International, 61 B/H G.J. Khan Road, kolkata-700039, Contact: +91 9051643604"
"Dynotrek Samso Travel Laptop Backpack Size: 30 cm *13 cm *43 cm Weight:0.48 kg Product Advantages?Large capacity with many pockets Convenient USB port design Comfy and sturdy High quality material A perfect gift Made from quality nylon fabric with Two shoulder straps,offers LIGHT-WEIGHT carrying and of force reinforcement,perfects for business traveling, weekend getaways, shopping, professional office work and other outdoor activities. Also, a perfect college high school student backpack for boys,girls,teens,women and men.",B09DBW7ZHM,13 x 30 x 43 cm; 400 Grams,"Dynotrek India, www.dynotrekindia@gmail.com"
"This stylish backpack is made of water resistant Vegan Leather and comes in a classic combination of steel grey with brown color. For the inner lining, we use soft feel premium polyester fabric. The two way nylon zippers used on the main compartments are very smooth to operate and ensure proper closure with security.",B08216QW2B,41 x 16 x 43 cm; 900 Grams,The Clownfish
"Wrinkle free bag and 3x more water resistant with Rainproof zippers; Trolley sleeve to securely place the bags on the luggage
",B0BC4B4VRM,17 x 28.6 x 46.1 cm; 635 Grams,"Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India"
"Are you bored of lugging around a backpack much too large and unwieldy? This handcrafted uppercase Compact Laptop Backpack is your perfect companion. It carries a full-sized 16"" laptop and comes with spacious compartments for your chargers, accessories, and other electronics. Designed with care - Holds 4-5 A4-sized books or a change of clothes - Zipper organiser to store your wallet, stationery, and phone charger. - Front access pocket for you to easily carry important small items. - Bottle holder on the side. - Trolley sleeve on the back for longer journeys. - Made of luxurious recycled material and has ultra-comfortable shoulder straps with thick padding. - Air mesh on the back optimises breathability and regulates temperature while you wear the backpack. Designed for good - A promise of sustainable and ethical production uppercase is committed to partnering with you in building a world more beautiful. All our products are made from sustainable materials and are GRS (Global Recycle Standard) certified. Our manufacturing processes conform to the highest and most stringent GRS criteria. We ensure fixed working hours, minimum wages, and no child labour. We maintain strict standards in factory safety, energy management, and waste disposal management. We do not use any restricted or harmful chemicals. Every Compact Laptop Backpack 5A bought helps reduce 6.5 1-litre plastic bottles from the planet, helps conserve 86ml of crude oil, and prevents 425g of CO? emission.* *Approximate calculations based on information available on www.textilevaluechain.in",B0B5N9TY9C,14.5 x 30.3 x 43 cm; 398 Grams,"Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India"
"We Made this Elegant Laptop Bag in Our own Factory located in Mumbai. We offer 1 Year Manufacturer Warranty FREE NO-TOUCH DOOR OPENER: This Door Opener Keychain can be used to avoid touching surfaces contactless. Use it on door handles, ATM keypads, elevators, retail checkout payment pads etc; Closure Type: Zipper Snap; Age Range Description: Adult; Pattern Name: Solid; Pattern Name: Solid; Closure Type: Zipper Snap; Age Range Description: Adult",B08D7D2ZFX,33 x 16.25 x 47.5 cm; 590 Grams,"?COSMUSBAGS PVT.LTD., COSMUSBAGS PVT.LTD."
"Dynotrek Samso Travel Laptop Backpack Size: 30 cm *13 cm *43 cm Weight:0.48 kg Product Advantages?Large capacity with many pockets Convenient USB port design Comfy and sturdy High quality material A perfect gift Made from quality nylon fabric with Two shoulder straps,offers LIGHT-WEIGHT carrying and of force reinforcement,perfects for business traveling, weekend getaways, shopping, professional office work and other outdoor activities. Also, a perfect college high school student backpack for boys,girls,teens,women and men.", B09DBT9RRJ,13 x 30 x 43 cm; 300 Grams,"Dynotrek India, www.dynotrekindia@gmail.com"
"Main compartment for carrying laptop accessories, documents, and other work essentials. It also has a large inner zipper pocket, to keep your important documents secured and safe. It has 2 large additional front pockets. 1 additional front zip pocket on the side.",B0B6G5YH4J, 29 x 15 x 39 cm; 530 Grams,
"This is a large capacity backpack for men. It has main compartments to hold your accessories and belonging ensuring you are equipped sufficiently while travelling.This backpack has been developed in soft and sturdy fine polyester material with charcoal black finish to ensure you take style wherever you go, it is tough and durable to endure all types conditions. The bag is water resistantIt is provided with a 3 sufficiently spaced main compartments to hold your accessories and belonging ensuring you are equipped sufficiently while travelling also it has additional interior pockets for placing additional items.Craftsmanship and Materials: Quality of the bag is not only contributed by good quality material, but also by the use of good quality Metal fittings and Reinforcement materials. We have used high quality metal zippers and sliders, Durable polyester material inside the bag, Strong cushioned strap in shoulder for better handling.Backpack size: 50*37*19cmLaptop compartment dimensions: L26*H38*TH2cm",B082MKHDJ1,19 x 37 x 50 cm; 1.2 Kilograms,
"Safari Quill is a 26 Litres, 2 compartment laptop backpack perfect for daily usage. It has a dedicated tech safe laptop sleeve that can hold upto 17 inch laptop or any smaller ones easily. The laptop sleeve is also fully padded from the bottom protecting your device from any shock or damage. This backpack is especially designed for todays fast paced world, where everything should be compact and lightweight. This backpack is perfect for everyday usage such as college, school, tuitions, or short holiday trips. The front pocket is designed to keep your essentials organized and side mesh pockets are perfect for storing your water bottle and umberella. Made of high grade water resistant polyester fabric, this backpack will last you several trips.",B09B25Z8M2,46 x 32 x 16 cm; 350 Grams," Safari Industries, 302-303, A Wing, The Qube CTS No.1498, A/2, Sir Mathuradas Vasanji Rd, Marol, Andheri East, Mumbai, Maharashtra 400059"
" First ever foldable backpack, slim fit- three dimensional backpack. Dimension: 46 cm x 32 cm x 16 cm. It’s foldable to 46 cm x 32 cm x 5 cm. Volume Capacity: 30 Ltrs",B097XY6DXJ,16 x 32 x 46 cm; 1 Kilograms,"Durant International. Address : GIDC Lodhika, Rajkot-360021, Gujarat, 9809804990"
"Stylish and Durable Spacious Laptop Backpack from Urban Wolf. 30Ltr Laptop Backpack is 15.5"" in Height. Urban Wolf Casual Backpack is made using premium Polyester Fabric that gives it strength and makes it durable for long-term use. It features atomic 3 large compartments, well-padded zippered, and one large easy access front pocket. The middle compartment is big enough to hold your office or weekend trip clothes or daily use belongings, front compartment with organizer section is to keep all official documents and small electronic gadgets, you can use it to store the charger, mouse, pen drive, notepad, pen and other essentials it also has one front zippered pocket for easy access items. Urban Wolf backpack features two side pockets, where you can keep your water bottle or any other item for a quick access. Made In India: URBAN WOLF Business Casual Backpack is fully manufactured in India and pass through stringent quality tests and checks 1 Year Warranty: URBAN WOLF Business casual backpack comes with 1 year of warranty.",B08VVV6PYN,44 x 32 x 16 cm; 300 Grams,URBAN WOLF INDIA
"Material This synthetic possesses many properties that make it a very useful fiber in many applications. It retains its shape rather well, which ensures longevity of the garment. This material is very responsive and resilient as well as relatively resistant to heat, UV rays and chemicals.",B08WLS5XBP,10 x 3 x 18 cm; 400 Grams,WE MANUFACTURE ALL KINDS OF BAGS FOR MORE DETAIL CONTACT- 7488730511
Charging on the way - with attached charging port. Now charging on the go is easier than before. Important Note: we do not provide any charger with this bag. You will have to keep one already charged power bank inside the bag for charging your mobile by inserting charging lead in the charging port given outside of the bag,B09MS69RLT,10 x 5 x 3 cm; 100 Grams,
" Size of extra large backpack:18.89 x 12.0 x 2.99 (inches), perfect to throw under your seat on an airplane when you are traveling or on business trip.Separate padded laptop compartment fits most 15.5 inch laptop /Ipad/Computer.The business computer backpack made from high quality polyester fabric shockproof with high density nylon lining for better TEAR & WATER RESISTANT and heavy duty backpack.",B09QL66G55, 47 x 33 x 20 cm; 450 Grams,"WildHorn, ADL International, 61 B/H G.J. Khan Road, kolkata-700039, Contact: +91 9051643604"
Closure Type: Zipper; Material Type: Polyester; Lining Description: Polyester; Special Features: Locking; Age Range Description: Adult; Pocket Description: Utility Pocket; Warranty Description: 1 Year Manufacturer Warranty; Strap Type: Padded Strap; Pattern Name: Solid; Style Name: Daypack Backpacks; Compartment Description: Up To 15 Inches; Water Resistance Level: Water Resistant,B09GPHHZPW,50 x 35.5 x 15 cm; 978 Grams,"Arctic Fox, Outshiny India Pvt. Ltd. No.17, Ganesh Nagar, 8th B Cross Narayanappa Layout, Kodigehalli Bengaluru - 560097"
"This 15.6 Inch Laptop Backpack is designed keeping in mind the requirement of each and every individual. Whether you are a school student who wants to carry lots of books, or an office executive who wishes to carry a laptop along with documents, lunch box & samples, etc or whether you want to use this for a day trip to fit clothes & travel gear, this backpack can be used by everyone. This can be used by Students, Professionals, Boys, Girls, Men and Women of all age groups.",B086V9G1TP,35 x 24 x 45 cm; 440 Grams,"?FUR JADEN, Fur Jaden, 3C Jai Hind Bld, DR AM Road, Bhuleshwar, Mumbai 400002"
"This stylish attractive backpack is made of water-resistant synthetic Vegan Leather material. For the inner lining, we use soft feel polyester fabric. The metal fittings, zipper and plastic buckles used are of .",B08B3GL2QF,32 x 16 x 42 cm; 880 Grams, The Clownfish
"This School/college/office/casual Backpack With Compartments And Dedicated Pockets Help You Carry A Laptop (14 Inch), Books",B075D5TM2V,33 x 13 x 44 cm; 400 Grams, LACIRA
"A laptop backpack you can count on! Start the day with a lavie sport Chairman laptop bagpack that features spacious compartments, pass through trolley handle, a multi-level organizer, and mesh padded shoulder straps for ease and comfort",B09YCN9MM4,16 x 30 x 43 cm; 570 Grams,"Bagzone Lifestyle Pvt Ltd, Bagzone Lifestyle Pvt Ltd | | LAVIE 402, Ackruti Star, MIDC Central Road, Andheri East, Mumbai – 400093"
Black colour backpack for men made of PU leather for stylish office use as well as for trendy college students. Huge compartment size that can fit upto a 15 inch laptop with ease.,B07P7H7KXM,30 x 20 x 44 cm; 700 Grams,"Fur Jaden, 3-C, Jai Hind Bld, Dr AM Road, Bhuleshwar, Mumbai 400002, 8080888028"
Fur Jaden Brings to you this fancy and trendy backback which can be used as a school or college or office backpack with a huge compartment which comes with a Laptop Sleeve and can fit all laptops upto 15.6 Inch,B07LBS2JYG,30 x 18 x 40 cm; 450 Grams, Fur Jaden
 Fur Jaden Brings to you this fancy and trendy backback which can be used as a school or college or office backpack with a huge compartment which comes with a Laptop Sleeve and can fit all laptops upto 15.6 Inch . Dimension of Backpack: 42 x30 x 15 cm (L x H x D),B07G4DZ9TW,30 x 15 x 42 cm; 390 Grams,"? Fur Jaden, 3-C, Jai Hind Bld, Dr AM Road, Bhuleshwar, Mumbai 400002, 8080888028"
 Black Colour Backpack for Men and Women for Stylish Office use as well as for Trendy College students. Huge compartment size that can fit upto a 15.6 inch Laptop with ease. Multiple pockets for other accessories., B078GLXMDY,28 x 13 x 42 cm; 600 Grams," ? Fur Jaden, 3-C, Jai Hind Bld, Dr AM Road, Bhuleshwar, Mumbai 400002, 8080888028"
The product will be an excellent pick for you. It ensures an easy maintenance.,B07M9BRCQ5, 28 x 27 x 47 cm; 900 Grams,"Fur Jaden, 3-C, Jai Hind Bld, Dr AM Road, Bhuleshwar, Mumbai 400002, 8080888028"
" This backpack has one roomy spaced compartment with built in soft padded sleeves to protect 15.6 inch laptop as wll as Tablet.. Spacious enough to hold your folders, documents etc. Side vertical zipper pocket for waterbottle, folding umbrella. Soft handle for better comfort.",B09RPN8HJN,30 x 15 x 46 cm; 780 Grams,
"The Backpack has a padded laptop compartment that can fit 15.2 inch laptop. It can also accommodate essentials such as a Lunch box, Charger, Tablet, Books, Power Bank, Wallet, and Sunglass.",B08SHZZSRX,"?Lightweight, Rain Cover, Anti-Theft, Water Resistant",?HIGH ALPS
Laptop & Tablet Pocket: 4 Zippered compartments with a padded 16'' laptop compartment & a dedicated 10'' tablet pocket. Keep your laptop & tablet secure in its own convenient pocket.,B08HM9P2TB, 27 x 35 x 47 cm; 830 Grams,"Wenger, Victorinox India Pvt. Ltd - +91 22 62628888"
"This Backpack has Wide, Padded and Adjustable shoulder straps and Padded Back for comfort in carrying heavy items. Stitched properly and Bartacks on every pressure point for extra durability.",? B09YRT2F7Q,500 Grams,Capriff
"Anti-Theft backpack has added safety features for you laptop and other precious devices.; Hidden pockets at one side give you quick access to items like cellphones, IDs, or other handy things that you frequently need, and you don’t have to take off your backpack to get it.",B08WLS5XBP,? 10 x 3 x 18 cm; 400 Grams,WE MANUFACTURE ALL KINDS OF BAGS FOR MORE DETAIL CONTACT- 7488730511
"Teal in color so that it does not catch dust easily || A SECRET POCKET at bottom || Designed For Comfort- back padded and padded strap for more comfort || made from heavy quality nylon and polyester || best quality zip and chain used || It is fully waterproof to protect your books laptop from rain || best quality material used to design its inside structure || a fully paddded laptop sleeve that fit to all sizes and companies of laptop like HP , Dell , Asus , Lenovo , mi etc", B084T7X2HX,16 x 22 x 5 cm; 400 Grams,
Laptop & Tablet Pocket: Padded 16'' laptop compartment with dedicated tablet pocket. Keep your laptop & tablet secure in its own convenient pocket,? B07DKJFNX3,23.9 x 34 x 47 cm; 2.5 Kilograms," ? Wenger, Victorinox India Pvt. Ltd - +91 22 62628888"
"AFN FASHION brings a fashionable backpack. This full-featured pack makes space for everything essential with multiple zip pockets on the exterior, plus a ready-to-go interior with padded and other storage solutions.", B081X69ZL7, 33 x 18 x 46 cm; 450 Grams,"AFN FASHION, AFN FASHION"
Actual product size and color may vary by +/- 5% from the size and color mentioned and seen in the photo due to screen resolution settings or due to different production batch.,B08PF58D3D,? 37 x 6 x 48 cm; 390 Grams,"Luzian, Dewbags143@gmail.com"
"Life is fast, which is why you need a bag that can keep pace. The CityPatrol offers great functionality and classic style, but its key benefit is its versatility. When you need a bigger bag, simply extend the hidden trolley handle and get rolling. The quick pocket offers easy access, and the RFID protection, Triple Protect padded 16” laptop pocket and lockable zippers keep your devices secure. Thanks to the airflow back panel, it’s as comfortable as it is practical. With the essentials organizer, you can neatly store your everyday items on the move.",B0731PHR79,48 x 25 x 34 cm; 2.17 Kilograms," Wenger, +91-22-62628888"
" LUZIAN Stylish and durable laptop backpack for school /college and travel. Easily accommodate 15.6 inch laptop.,32 liters .We are providing a “ FREE RAIN COVER “ inside a bottom zipper pocket , which makes this An all-weather backpack .",B08KXP41JJ,36 x 17 x 48 cm; 390 Grams,"LUZIAN, dewbags143@gmail.com"
"The Wenger 17.5"" ScanSmart Laptop Backpack marries contemporary design with innovative storage solutions. Crafted from durable polyester, this backpack means business. This classic backpack is simple yet stylish. Its minimalistic look makes it the ideal accessory to take along to the office, college, school or on trips. Brought to you by Wenger, a renowned Swiss company since 1893.",B09V1GJ7D6,24 x 35 x 46 cm; 900 Grams," ? Victorinox, Victorinox India Pvt. Ltd - +91 22 62628888"
"This “MAKE IN INDIA” Product features 3 large zippered compartments, one laptop partition, 2 water bottle /umbrella pockets and Organizer Pockets inside. Suitable for casual usage , school / college / office n travel",B08WCDN5JY, 32 x 22 x 38 cm; 390 Grams,"? Luzian, dewbags143@gmail.com"
"One large main compartments for versatile storage; Well Padded Laptop Compartment with organizer Sections, Large Front Easy access pocket",? B01M2VIF64,31.75 x 17.78 x 46.99 cm; 450 Grams,Ambrosia Bags
"Wanderer is a backpack that will nudge you to travel and explore with its travel inspired design elements. This backpack is 17"" Laptop compatible with 3 compartments, side pocket and raincover.",B07NSCCGBK, ? 18 x 32 x 46 cm; 490 Grams,Safari
"Large multi-compartment backpack with a padded sleeve for laptops Holds up to 15 inches Laptop
Water Resistance PU Coated Durable Fabric with padded back section for comfortable carry", B07NPL6V8S, 33.02 x 21.59 x 45.72 cm; 830 Grams, Cosmus
"This is very specially design product form our side. This is made up of high class fibre and pockets, chains and zips use in it. It is fully waterproof and rainproof. It has a wide range capacity of carry goods and other things to carry one place to another. It is ideal for girls and for boys for all",B09QYWY5T2,30.48 x 15.24 x 48.26 cm; 300 Grams,
"Well this anti theft backpack has taken good features from both the ANTI THEFT BACKPACK as well as the normal backpack. So while we are having concealed zippers at the back for all the essential and important items, based on the feedback of many users we are now having two pockets in the front for non essentials as well as two water bottle holders on the outside. In essence this is a HYBRID ANTI THEFT BACKPACK. Added to that we are also having an attached rain cover with the bag making it completely water proof for all your essentials. Presenting to you the complete anti-theft backpack in the Market. ""LUXUR BLACK ANTI-THEFT"" with attached RAIN COVER only from ""ZUKA"". The laptop stow compartment has been provided with ample layers of protective padding to protect your valuable laptop. The bag can be opened partially around 90° for quick access or can be fully opened around 180° for complete access with everything visible at a glance, no more groping around in the bag. So if you are looking at an advanced version of THE ANTI THEFT BACKPACK. GO FOR IT!",B09HM9V1VP,32 x 11 x 44 cm; 910 Grams, FM PURSE zuka02021@gmail.com
"school bag for Super Quality Assured Provided By Customers it's Unisex Backpack, Laptop Bags, College Bags, also is the light Weight Premium trendy and tough. The straps are to reduce the weight off the shoulder. There are various pockets and compartments along with toughened zips to ensure maximum security and portability. It has spacious compartments, and 1 small inside compartment for laptop, 2 side mesh pockets for umbrella and water bottle. The back is full padded. The shoulder straps are padded and adjustable.",B09V1NQJZB,31.75 x 22.86 x 45.72 cm; 450 Grams,BLUECRAFT IN TELANGANA HYDERABAD 8008355628
"Pagwin Casual Laptop Backpack Practical trend backpack, both very convenient to incorporate digital equipment, but also to give you large capacity main pockets to put some clothes, some books, bottle or something else. Multipurpose: suitable for business, school, hiking, travelling, camping, sports, school. To meet all your travel needs. Durable: made with superior quality Nylon fabric material and ensured for maximum durability and making the texture become ultra-durable and better ventilation not easy to deformation. This bag will last for many years. Comfortable: breathable mesh and wide shoulder straps with plentiful sponge padding help relieve the stress from your shoulder. You can to adjust the length of the shoulder straps if you need. Well-made and designed: it's attractive and functional looking. The whole backpack were designed and built very well and there are two compartments and reduced burden system designed.",? B0B5NFNRDT, 33 x 20 x 46 cm,PAGWIN
Solid; Style Name: Daypack Backpacks; Special Features: Back Padding; Age Range Description: Adult, B07B51DJZG,18.42 x 33.02 x 47.62 cm; 530 Grams,? Killer
"This stylish attractive backpack is made of water-resistant polyester material in black color. For the inner lining, soft feel polyester fabric is used. The metal fittings, zippers and pullers used are durable and of",B08FQWH9BV,30 x 14 x 47 Centimeters,?Yeso
Light weight yet Durable. Trendy Design with bright eye catching colour combination,B07MV71ZM3,30.48 x 17.78 x 43.18 cm; 380 Grams,Tuff Gear
We Made this Elegant Laptop Bag in Our own Factory located in Mumbai. We offer 1 Year Manufacturer Warranty, B08D7DG8RG,? 15 x 31.25 x 45 cm; 490 Grams,COSMUS BAGS PVT.LTD
"Laptop compartment, back padding, padded handles, zip closure",B07BVXT8WJ,46 x 32 x 28 cm; 0.4 Grams,Good Friends
"Good Friends is a fun and cool brand for today's youth. We believe in adding colour to your life by offering stylish, colourful and premium products. Our new multi color backpack is perfect for all your school requirements as it is spacious enough to fit in all your Books and stationery.",B0922P8LS2, 20 x 33 x 48 cm; 480 Grams,Good Friends
"it's Backpack for Man, Laptop Bags, College Bags, also is the light Weight Premium trendy and tough. The straps are to reduce the weight off the shoulder. There are various pockets and compartments along with toughened zips to ensure maximum security and portability. It has spacious compartments, and 1 small inside compartment for laptop, 2 side mesh pockets for umbrella and water bottle. The back is full padded. The shoulder straps are padded and adjustable.",B09P7KDPVL,24.13 x 36.83 x 49.53 cm; 850 Grams,HWAIZAA INTERPRISES
"Safely transport your photography equipment, drones or game consoles with the TechPack, the bag that boasts cutting-edge design and a sleek exterior. Fully customizable padded dividers can be adjusted to suit your tech protection needs, and cushioned pockets protect your laptop and tablet. There's a built-in rain cover to keep your equipment safe from the elements, and removable straps will carry a tripod or larger accessories. Multiple pockets neatly store essentials, so you can have peace of mind that you've got everything you need to get your job done.",B07QHK5DWF,18 x 31 x 44 cm; 1.1 Kilograms,"? Wenger, +91-22-62628888"
